product_name,customer_id,rating,review_date,text
"Smart Thermostat","C45678",5,"2023-04-16","Excellent smart thermostat! It was easy to install and the energy-saving features are impressive. It learned our preferences quickly and now maintains the perfect temperature automatically."
"Smart Thermostat","C56789",3,"2023-04-18","It's an okay thermostat. The basic functions work well but the 'smart' features aren't very impressive. It's also more complicated to use than it needs to be."
"Smart Thermostat","C67890",4,"2023-04-20","Very good smart thermostat. The geofencing feature works well and it integrates nicely with our other smart home devices. The only downside is the price."
"Smart Thermostat","C78901",5,"2023-04-22","Best purchase for our home this year! The thermostat is intuitive, the temperature sensors work perfectly, and the energy reports are really helpful. Highly recommend!"
"Smart Thermostat","C89012",1,"2023-04-24","Terrible experience. The thermostat never worked properly and customer support was useless. Ended up returning it and getting a different brand."
"Smart Thermostat","C90123",4,"2023-04-26","Really good smart thermostat. The installation was easy and it works reliably. The energy-saving suggestions are helpful too. Taking off one star because the app could be more user-friendly."
"Smart Thermostat","C01234",3,"2023-04-28","Decent thermostat but overpriced. It works as expected but doesn't have any standout features that justify the premium price. The basic functions are reliable though."
"Fitness Tracker","C12345",5,"2023-03-05","This fitness tracker has completely changed my workout routine! The heart rate monitor is accurate, the sleep tracking is eye-opening, and the battery lasts for days. The app is also intuitive and provides great insights."
"Fitness Tracker","C23456",4,"2023-03-07","Very good fitness tracker. It's comfortable to wear and tracks activities accurately. The only downside is that the screen is a bit small."
"Fitness Tracker","C34567",2,"2023-03-09","Not impressed with this fitness tracker. The step counter is inaccurate and the sleep tracking doesn't work properly. The app is also confusing to navigate."
"Fitness Tracker","C45678",5,"2023-03-11","Best fitness tracker I've ever used! It's lightweight, the battery life is amazing, and it tracks all my activities perfectly. The notifications from my phone are also very useful."
"Fitness Tracker","C56789",3,"2023-03-13","It's an okay fitness tracker. The basic functions work well but some of the advanced features are hit or miss. The heart rate monitor seems accurate but the calorie counting is questionable."
"Fitness Tracker","C67890",4,"2023-03-15","Good fitness tracker with useful features. The workout detection works well and the battery life is excellent. Taking off one star because it's not fully waterproof as advertised."
"Fitness Tracker","C78901",5,"2023-03-17","Absolutely love this fitness tracker! It's helped me stay motivated and the goal-setting features are perfect. The stress monitoring and breathing exercises are also really helpful."
"Fitness Tracker","C89012",1,"2023-03-19","Terrible product. Stopped syncing with my phone after two weeks and reset itself multiple times, losing all my data. Complete waste of money."
"Fitness Tracker","C90123",4,"2023-03-21","Very good fitness tracker for the price. It has all the features I need and the battery lasts about a week. The app is well-designed and easy to use. Taking off one star because the band irritates my skin sometimes."
"Fitness Tracker","C01234",3,"2023-03-23","Decent fitness tracker but nothing special. It tracks steps and sleep reasonably well but the heart rate monitor isn't very accurate during intense workouts. The app is good though."
